Date,Open,High,Low,Close,Adj Close,Volume,DAX_formula,counter
11/06/2015,121.449997,123.150002,120.25,121.900002,82.03537,201406,10988.03027,35
11/09/2015,122,123.5,119.849998,120.099998,80.824013,158148,10815.4502,36
11/10/2015,120.800003,120.800003,117.699997,119.75,80.58847,119026,10832.51953,37
11/11/2015,120.400002,121.25,117.099998,118.150002,79.511719,88432,10907.87012,38
11/12/2015,118.949997,118.949997,115.099998,117.199997,78.872398,148744,10782.62988,39
11/13/2015,116.650002,120.400002,116.400002,118.449997,79.713608,132245,10708.40039,40
11/16/2015,119.75,121.300003,116.449997,116.800003,78.603218,128892,10713.23047,41
11/17/2015,117.949997,118.300003,116.400002,117,78.737801,132337,10971.04004,42
11/18/2015,117.050003,120.599998,116.75,120,80.756721,104740,10959.9502,43
11/19/2015,121.75,125.900002,121.25,125.300003,84.323471,190867,11085.44043,44
11/20/2015,125.099998,125.449997,122.550003,123.900002,83.38131,167973,11119.83008,45
11/23/2015,120.300003,124.650002,120.300003,124.650002,83.886032,129848,11092.30957,46
11/24/2015,125,129.800003,124.5,127.150002,85.568474,359133,10933.99023,47
11/25/2015,129,130.699997,125.050003,130.449997,87.789284,306819,11169.54004,48
11/26/2015,134.899994,137.850006,133.300003,134.550003,90.548485,278321,11320.76953,49
11/27/2015,135,135.25,131.449997,134.25,90.346581,147845,11293.75977,50
11/30/2015,135,141.300003,132.75,141.300003,95.091042,377482,11382.23047,51
12/01/2015,142.800003,146.5,139.5,139.649994,93.980629,401846,11261.24023,52
12/02/2015,140.149994,140.800003,133.5,137.850006,92.769272,240243,11190.01953,53
12/03/2015,137.850006,142.350006,136.75,136.75,92.028999,229427,10789.24023,54
12/04/2015,137.399994,139.75,136.399994,137.300003,92.399147,184766,10752.09961,55
12/07/2015,138.850006,138.850006,135.75,136.050003,91.55793,111041,10886.08984,56
12/08/2015,136.600006,137.300003,130.649994,132.5,89.168869,187728,10673.59961,57
12/09/2015,133.800003,141.850006,131.300003,140.399994,94.485359,323912,10592.49023,58
12/10/2015,142.800003,143.75,137,139.600006,93.946983,291470,10598.92969,59
12/11/2015,140.949997,141.600006,137,137.600006,92.601044,206879,10340.05957,60
12/14/2015,138.350006,138.949997,131.550003,131.699997,88.630493,175701,10139.33984,61
12/15/2015,134.350006,137.399994,132.75,134.300003,90.380226,151706,10450.37988,62
12/16/2015,135.25,136.300003,132.449997,134.899994,90.784004,115120,10469.25977,63
12/17/2015,138.399994,140.300003,138,139.149994,93.644157,184872,10738.12012,64
12/18/2015,139.5,140.800003,137.75,140.199997,94.350769,232874,10608.19043,65
12/21/2015,140.199997,141.800003,139.050003,139.050003,93.576851,200623,10497.76953,66
12/22/2015,141.300003,141.949997,139.399994,141,94.889153,111834,10488.75,67
12/23/2015,141.5,143.600006,140.850006,143.199997,96.36969,185698,10727.63965,68
12/25/2015,143.199997,143.199997,143.199997,143.199997,96.36969,0,null,69
12/28/2015,144,144.649994,142.25,142.600006,95.965897,107059,10653.91016,70
12/29/2015,143.5,144.75,142.350006,143.949997,96.874405,69590,10860.13965,71
12/30/2015,144.199997,144.199997,142.300003,142.300003,95.764015,37775,10743.00977,72
