Price,Close,High,Low,Open,Volume
Ticker,NAS.OL,NAS.OL,NAS.OL,NAS.OL,NAS.OL
Date,,,,,
2020-11-13,22.15913963317871,22.627600917905152,22.04423263905993,22.627600917905152,920793
2020-11-16,23.64407730102539,24.52796940731752,22.17681867832289,22.17681867832289,2853576
2020-11-17,21.02334213256836,23.997633658896557,20.568137088802196,23.73246656575542,2986441
2020-11-18,20.957048416137695,21.65532189215256,19.145072506395458,21.21337676838096,1722016
2020-11-19,17.677814483642578,20.683043216545432,17.284482319631962,20.683043216545432,6056095
2020-11-20,19.343948364257812,20.77143272195258,17.677814890538635,17.677814890538635,3768135
2020-11-23,18.473316192626953,19.445595517355354,17.51429495164305,19.445595517355354,2551834
2020-11-24,23.423105239868164,30.052286002180992,17.67781476464839,18.4954128290701,12599119
2020-11-25,17.907625198364258,22.123786028123096,17.722008418097133,22.09726805625818,8819526
2020-11-26,18.96387481689453,19.887539299938087,18.11975883085797,18.561703948127995,4014961
2020-11-27,17.898788452148438,19.887540719545513,17.898788452148438,19.445595570728663,3326856
2020-11-30,15.852580070495605,18.11975919985563,15.781868489380933,18.11975919985563,3868026
2020-12-01,14.142251014709473,16.170782035751696,13.877084828886488,16.086810563067477,4402614
2020-12-02,14.849364280700684,16.55085446419357,13.258360836014361,14.579777829020607,5252808
2020-12-03,15.914451599121094,18.561704879132844,14.58861618081069,15.247115431078115,9028589
2020-12-04,15.910032272338867,17.682233999640033,15.910032272338867,17.014896025597388,4485781
2020-12-07,16.405012130737305,19.083201039281725,15.247116002475575,16.351979794751923,7913887
2020-12-08,17.88994789123535,20.329487634470947,17.713171636600425,18.95061805094723,12028180
2020-12-09,24.112537384033203,24.306994684096676,18.163952890421204,18.389345717865112,13748850
2020-12-10,41.32189178466797,45.82973386861088,26.25155308244094,26.25155308244094,15197971
2020-12-11,34.68387222290039,47.33235108579308,30.936174514701452,42.16158658533585,3804624
2020-12-14,28.638059616088867,36.10693521699502,27.930947389431353,35.13465770989839,9554342
2020-12-15,22.981157302856445,28.284502406320165,22.769024364905437,28.284502406320165,9194632
2020-12-16,26.781888961791992,28.61154231726611,20.32948653964322,21.99561992848698,11784548
2020-12-17,28.072370529174805,33.01331738857538,26.773049468035655,28.947422089264787,11950542
2020-12-18,20.546039581298828,26.516721041459018,19.2246235219947,25.632830761140454,29280017
2020-12-21,23.785499572753906,23.829693183892715,18.915260765484422,21.169183656613924,11881716
2020-12-22,26.879117965698242,28.629221100210348,22.654120215476286,23.51149433784989,9892248
2020-12-23,29.636856079101562,30.14067406801688,27.179638994012134,28.204952416108416,7698923
2020-12-28,39.315460205078125,39.76624587587403,32.26201173971907,32.26201173971907,12056449
2020-12-29,41.869903564453125,48.6139892760865,35.60311606401455,40.605941041500984,19363464
2020-12-30,38.4227294921875,43.22225660908944,35.82409107897168,42.86870050970422,9310947
2021-01-04,37.56535720825195,39.898826854086295,36.5046888593168,39.775084739757645,4804366
2021-01-05,31.820068359375,37.56535702614643,31.820068359375,37.46812747053033,4340279
2021-01-06,32.35923767089844,34.02095357632919,28.50547710138106,31.448831216435536,4498376
2021-01-07,35.116981506347656,36.85824596740374,32.81886307936921,33.14590303712472,3571927
2021-01-08,35.26723861694336,38.564154252712264,34.47173916490097,36.6461081835394,3298002
2021-01-11,33.41107177734375,35.779896365473945,32.36808085020243,35.364469182792995,1683926
2021-01-12,33.89720916748047,34.89600649394265,32.73047610859647,33.587850261798906,1428583
2021-01-13,34.02979278564453,34.471739740132236,32.447628968438586,34.02979278564453,1328655
2021-01-14,32.26201248168945,33.80882142290453,29.78711781483383,31.820069132265143,4616945
2021-01-15,27.489002227783203,31.802387168169272,27.489002227783203,31.802387168169272,3515130
2021-01-18,28.39056968688965,29.963894736100894,24.775456479884337,27.04705683082606,3759866
2021-01-19,28.814836502075195,30.626814216104915,28.107724304145965,28.72644747733404,2869460
2021-01-20,26.516721725463867,29.380529194860483,26.074776573904508,29.380529194860483,1828311
2021-01-21,30.05228614807129,31.24553713916088,28.726448906437906,28.88554951979851,10069670
2021-01-22,29.61033821105957,31.731676644245056,28.50547628592781,30.93617360395212,7418102
2021-01-25,27.356416702270508,29.10651975374155,26.87027796828265,29.10651975374155,2877899
2021-01-26,27.00286102294922,27.568550068485077,25.986386319947638,27.356417127548482,1500613
2021-01-27,24.748939514160156,27.00286054321596,24.395383415842176,27.00286054321596,2251516
2021-01-28,23.555686950683594,24.96991135419943,22.830897304793204,24.306994567330072,3038805
2021-01-29,25.588634490966797,28.063528997830318,23.467297888990107,23.546848192019972,5225697
2021-02-01,27.40061378479004,28.10772602603727,25.765415824627077,26.720017711222336,2448022
2021-02-02,27.842557907104492,28.50547651106523,27.18847802537711,28.054690849819774,2343010
2021-02-03,27.091251373291016,28.50547766537137,26.516721772956107,28.196115156446997,1397595
2021-02-04,26.516721725463867,26.95866868158071,25.632831422345152,26.95866868158071,1049626
2021-02-05,25.853803634643555,26.251553349295058,25.51792497499102,26.251553349295058,894477
2021-02-08,24.616355895996094,26.286910501276576,24.342350091116987,26.074775752476427,1552926
2021-02-09,23.838531494140625,24.69590558099046,23.776660439615554,24.616355277757982,1153955
2021-02-10,23.71478843688965,25.14669214222382,23.71478843688965,23.926921383464922,1344255
2021-02-11,24.315834045410156,24.527968795267533,23.59988309932607,23.688272127293953,925275
2021-02-12,23.953439712524414,24.784295870988682,23.75898420783676,24.413062306665445,468524
2021-02-15,24.368867874145508,24.527968483376096,23.95343890661173,24.30699501398752,716223
2021-02-16,24.174409866333008,24.863844616518115,23.997631817801306,24.74893942633972,625720
2021-02-17,23.953439712524414,24.306995831795586,23.865048878149143,24.174411384790158,603284
2021-02-18,23.52033233642578,24.068343938260913,23.511493614256576,23.971116189842256,413566
2021-02-19,23.555686950683594,23.935761022318644,22.30056315347477,23.52033206241865,1056793
2021-02-22,23.325876235961914,24.351187831188145,23.157935105420783,24.0153091792206,535171
2021-02-23,23.228647232055664,24.077182603880445,22.318240805191767,23.405425284139376,1057037
2021-02-24,24.041828155517578,24.041828155517578,22.671797324503416,23.2286476573964,1307511
2021-02-25,24.85500717163086,26.50788255169643,24.324672998786475,24.52796902823371,1618245
2021-02-26,24.289318084716797,25.2704361230388,22.981158294210857,24.30699552954905,897132
2021-03-01,23.90040397644043,25.54444054306489,23.90040397644043,24.74893932783835,733542
2021-03-02,24.395383834838867,24.65171219097764,24.006471037274995,24.30699480874127,533212
2021-03-03,24.298154830932617,25.04062374965948,23.953439245466413,24.51028958109348,604042
2021-03-04,24.306995391845703,25.19088567402547,24.1390560577758,25.146692062195203,804648
2021-03-05,24.572162628173828,25.85380444752428,23.997633038931916,24.351189153986184,873125
2021-03-08,24.572162628173828,25.63283097333663,24.306995541883126,25.23508124617931,743167
2021-03-09,24.35118865966797,24.89920207052362,24.218606021492715,24.74894018330857,711413
2021-03-10,24.130216598510742,24.74010105504561,24.130216598510742,24.52796811562365,540416
2021-03-11,23.36123275756836,24.607517902141627,22.981158664759345,24.50145142688044,1526489
2021-03-12,23.19329261779785,24.041827999659315,23.069546897141116,23.423104810047914,820646
2021-03-15,23.52033233642578,23.82085430385096,22.680635684777265,23.29052014635424,1003721
2021-03-16,23.529170989990234,24.086021312370946,23.24632466317076,23.865047845112908,519027
2021-03-17,23.24632453918457,23.812015385248955,23.202130928703113,23.812015385248955,346915
2021-03-18,23.317035675048828,23.750142072279722,23.290519509266534,23.511492971124376,312860
2021-03-19,23.865047454833984,23.865047454833984,23.00767517992544,23.42310413666006,577993
2021-03-22,23.237485885620117,24.262799306502462,23.069546556180512,23.865047788209345,571618
2021-03-23,23.104904174804688,23.40542615267591,22.804382196933467,23.202131926602952,462556
2021-03-24,23.555686950683594,23.67059214210204,22.265206460652443,22.989997911100215,719798
2021-03-25,23.555686950683594,23.953438466451114,23.122580546651132,23.644075975903334,893512
2021-03-26,23.431941986083984,23.997632848414256,23.15793617954801,23.776661180538365,417336
2021-03-29,24.306995391845703,26.958668042942445,23.644076777932153,23.644076777932153,2318445
2021-03-30,26.85260009765625,26.861438820131657,24.413062166835065,24.66055180981884,1483671
2021-03-31,29.345170974731445,31.095274044853138,27.108927360883772,27.108927360883772,3765640
2021-04-06,28.7043514251709,31.03340346115101,27.95304379288645,29.950636526254087,2814438
2021-04-07,26.640466690063477,29.137458078504153,26.51672096842524,28.726448467692943,1953703
